incident_id,regulation_label,status,ringkasan_insiden,teks_pasal,ANOTATOR_relevant,pass2_relevant(test-retest),beda_antar_pass,catatan_anotator,claude_relevant,claude_roles,claude_conf,claude_alasan,BEDA_claude_vs_anotator,PUTUSAN_FINAL_ANDA,CATATAN_ANDA
kemendikbud-leak-claim-2025,ASEAN_Guide_AI_Governance_Ethics_2024 - Bagian 80,gold,"[2025 data_breach] Awal Februari 2025 anggota BreachForums (terindeks via FalconFeeds.io) mengklaim menjual ~25 GB data yang diatribusikan ke Kemendikbudristek (nama, nomor identitas, gender, TTL, telepon, ID provinsi/ko",collected and how it was processed will help developers and deployers understand how data accuracy and integrity is maintained over its lifecycle. It is also worthwhile noting that providing such information would also l,0,0,,"Panduan ASEAN (data lineage) bersifat pedoman, tidak operatif.",0,,96,panduan ASEAN; soft law,,,
mypertamina-44m-2022,UU_PDP_No27_2022 - Pasal 28,EXEMPLAR (few-shot),"[2022 data_breach] November 2022 dataset yang diatribusikan ke MyPertamina bocor dalam format CSV, memuat ~44 juta data dan ~6 juta email unik, plus nama, TTL, gender, alamat, telepon, dan riwayat pembelian. Have I Been ",Pengendali Data Pribadi wajib melakukan pemrosesan Data Pribadi sesuai dengan tujuan pemrosesan Data Pribadi.,0,0,,Ps28 (pemrosesan sesuai tujuan) tidak terpicu oleh pencurian pihak ketiga.,0,,95,Pemrosesan sesuai tujuan tak terpicu pencurian pihak ketiga,,,
cermati-data-breach-2020,WHO_Ethics_and_Governance_of_AI_for_Health - Bagian 21,gold,"[2020 data_breach] Data 2,9 juta pengguna Cermati dijual ~USD 2.200 di forum peretas, terungkap publik via Teguh Aprianto pada 4 November 2020, memuat nama, email, alamat, telepon, rekening bank, pekerjaan, NPWP, dan NIK","External reviewers Anurag Aggarwal, Council of Scientific and Industrial Research, India Paolo Alcini, European Medicines Agency, Netherlands Pamela Andanda, University of Witwatersrand, South Africa Eva Blum-Dumontet, P",0,0,,WHO Bagian 21 = daftar external reviewer; tanpa muatan normatif.,0,,98,daftar reviewer WHO; bukan norma,,,
bsi-lockbit-ransomware-2023,ASEAN_Guide_AI_Governance_Ethics_2024 - Bagian 38,gold,"[2023 ransomware] Pada 8 Mei 2023 layanan ATM dan cabang BSI lumpuh; LockBit mengklaim mencuri 1,5 TB data ~15 juta nasabah dan pegawai. Log negosiasi menunjukkan bank menawar ~USD 10 juta sementara LockBit menuntut USD ","AI actors can be defined as any actor involved in at least one stage of the AI system life cycle, and can refer to both natural and legal persons, such as researchers, programmers, engineers, data scientists, end-users, ",0,0,,"Panduan ASEAN (PET/AI actors) bersifat pedoman, tidak operatif.",0,,97,catatan kaki ASEAN; soft law,,,
kreditplus-data-leak-2020,UU_PDP_No27_2022 - Pasal 4,EXEMPLAR (few-shot),"[2020 data_breach] Data ~896.169 nasabah KreditPlus dijual di RaidForums, pertama oleh 'Megadimarus' (27 Juni 2020) lalu 'ShinyHunters' (16 Juli 2020), memuat nama, NIK, email, alamat, TTL, telepon, data pekerjaan dan pe",(1) Data Pribadi terdiri atas: a. Data Pribadi yang bersifat spesifik; dan b. Data Pribadi yang bersifat umum. (2) Data Pribadi yang bersifat spesifik sebagaimana dimaksud pada ayat (1) huruf a meliputi: a. data dan info,0,0,,"Ps4 (definisi) bersifat definitif, bukan operatif.",0,,98,"Pasal definisi, bersifat definitif bukan operatif",,,
bkn-asn-leak-topiax-2024,UU_PDP_No27_2022 - Pasal 12,gold,"[2024 data_breach] Pada 10 Agustus 2024 pengguna BreachForums 'TopiAx' mengklaim mencuri 4.759.218 data BKN (NIP, NIK, nama, TTL, jabatan, instansi, alamat, kontak, pendidikan) dan menawarkannya seharga ~USD 10.000. CISS",(1) Subjek Data Pribadi berhak menggugat dan menerima ganti rugi atas pelanggaran pemrosesan Data Pribadi tentang dirinya sesuai dengan ketentuan peraturan perundang-undangan. (2) Ketentuan lebih lanjut mengenai pelangga,0,1,YA,Ps12 (hak gugat ganti rugi) terpicu—korban kebocoran dapat menuntut.,1,konsumen,88,Hak gugat dan ganti rugi korban kebocoran,YA,,
bpjs-kesehatan-279m-2021,UU_PDP_No27_2022 - Pasal 67,gold,"[2021 data_breach] Pada Mei 2021 akun RaidForums 'Kotz' menjual data yang diklaim milik ~279 juta peserta BPJS Kesehatan (NIK, KTP, telepon, email, nama, alamat, gaji), dengan ~20 juta disertai foto. Kasus diselidiki BSS",(1) Setiap Orang yang dengan sengaja dan melawan hukum memperoleh atau mengumpulkan Data Pribadi yang bukan miliknya dengan maksud untuk menguntungkan diri sendiri atau orang lain yang dapat mengakibatkan kerugian Subjek,1,1,,Ps67 (perolehan/pengungkapan data) tepat untuk pelaku penjualan data.,1,pelaku,96,pidana perolehan melawan hukum oleh penjual data,,,
cermati-data-breach-2020,UU_PDP_No27_2022 - Pasal 33,gold,"[2020 data_breach] Data 2,9 juta pengguna Cermati dijual ~USD 2.200 di forum peretas, terungkap publik via Teguh Aprianto pada 4 November 2020, memuat nama, email, alamat, telepon, rekening bank, pekerjaan, NPWP, dan NIK","Pengendali Data Pribadi wajib menolak memberikan akses perubahan terhadap Data Pribadi kepada Subjek Data Pribadi dalam hal: a. membahayakan keamanan, kesehatan fisik, atau kesehatan mental Subjek Data Pribadi dan/atau o",0,0,,Ps33 (penolakan akses perubahan) salah sasaran untuk kebocoran.,0,,93,kewajiban menolak akses perubahan; tak terpicu,,,
kemendikbud-leak-claim-2025,Stranas_AI_Indonesia_2020-2045_Full - Bagian 77,gold,"[2025 data_breach] Awal Februari 2025 anggota BreachForums (terindeks via FalconFeeds.io) mengklaim menjual ~25 GB data yang diatribusikan ke Kemendikbudristek (nama, nomor identitas, gender, TTL, telepon, ID provinsi/ko",…Kecerdasan Artifisial sampai ada badan yang khusus ditugasi masalah ini. PENGESAHAN RANCANGAN UNDANG-UNDANG PERLINDUNGAN DATA PRIBADI (“RUU PDP”). Data tidak dapat dipisahkan dari Kecerdasan Artifisial sehingga pengesah,0,0,,"Stranas AI = strategi/rencana legislasi, bukan aturan operatif.",0,,96,narasi Stranas; aspiratif,,,
kemendikbud-leak-claim-2025,UNESCO_Recommendation_on_AI_Ethics_2021 - Bagian 73,gold,"[2025 data_breach] Awal Februari 2025 anggota BreachForums (terindeks via FalconFeeds.io) mengklaim menjual ~25 GB data yang diatribusikan ke Kemendikbudristek (nama, nomor identitas, gender, TTL, telepon, ID provinsi/ko","74. Member States should establish their data policies or equivalent frameworks, or reinforce existing ones, to ensure full security for personal data and sensitive data, which, if disclosed, may cause exceptional damage",0,0,,"Rekomendasi UNESCO (kebijakan data) aspiratif, tidak operatif.",0,,96,rekomendasi UNESCO; soft law,,,
malindo-lionair-30m-2019,PP_PSTE_No71_2019 - Pasal 82,gold,"[2019 data_breach] September 2019 data penumpang anak usaha Lion Air Group, Malindo Air, bocor ke forum, mengeksposur rincian paspor, alamat, dan telepon (data pembayaran dilaporkan tidak terdampak). Peneliti Kaspersky m",(1) Registrar Nama Domain sebagaimana dimaksud dalam Pasal 79 ayat (3) huruf b melaksanakan pengelolaan Nama Domain Indonesia tingkat kedua dan Nama Domain Indonesia tingkat turunan. (2) Registrar Nama Domain terdiri ata,0,0,,PP PSTE Ps82 (registrar nama domain) tidak relevan dengan kebocoran data maskapai.,0,,97,pasal registrar nama domain; tidak relevan,,,
